句子,长度,斯坦福,清华
再者，中亚有丰富的自然资源。,14,再者 ， 中亚 有 丰富 的 自然 资源 。 ,再者 ， 中亚 有 丰富 的 自然资源 。 
中国人常说要致富，先修路。,13,中国人 常 说 要 致富 ， 先 修路 。 ,中国 人 常 说 要 致富 ， 先 修路 。 
不干事，犯错误的概率反而小。,14,不 干事 ， 犯 错误 的 概率 反而 小 。 ,不 干 事 ， 犯 错误 的 概率 反而 小 。 
广大干部群众对此深有感触。,13,广大 干部 群众 对 此 深有 感触 。 ,广大 干部 群众 对 此 深有感触 。 
我们要用最少资金解决问题。,13,我们 要 用 最少 资金 解决 问题 。 ,我们 要 用 最 少 资金 解决 问题 。 
案子办完了，钟黎却彻夜难眠。,14,案子 办完 了 ， 钟黎 却 彻夜 难眠 。 ,案子 办 完 了 ， 钟黎 却 彻夜 难 眠 。 
社区党委副书记王波说。,11,社区 党委 副书记 王波 说 。 ,社区 党委 副 书记 王波 说 。 
记者问：是个人的宅基地吗？,13,记者 问 ： 是 个人 的 宅基 地 吗 ？ ,记者 问 ： 是 个人 的 宅基地 吗 ？ 
31万超标电动车，驶向何方？,14,31万 超标 电动车 ， 驶向 何方 ？ ,31万 超标 电动车 ， 驶 向 何方 ？ 
科学对于人类的意义毋庸赘言。,14,科学 对于 人类 的 意义 毋庸赘言 。 ,科学 对于 人类 的 意义 毋庸 赘言 。 
大部分孩子一脸茫然，没上过。,14,大部分 孩子 一脸 茫然 ， 没 上 过 。 ,大部分 孩子 一 脸 茫然 ， 没 上 过 。 
落后的还有观念。,8,落后 的 还 有 观念 。 ,落后 的 还有 观念 。 
镇干部亲自送到手。,9,镇 干部 亲自 送到手 。 ,镇 干部 亲自 送 到 手 。 
而这意味着他要付出更多努力。,14,而 这 意味 着 他 要 付出 更 多 努力 。 ,而 这 意味着 他 要 付出 更 多 努力 。 
促进就业，每个人都是当事人。,14,促进 就业 ， 每 个 人 都 是 当事人 。 ,促进 就业 ， 每个 人 都 是 当事人 。 
全国餐饮业仍保持着增长势头。,14,全 国 餐饮业 仍 保持 着 增长 势头 。 ,全国 餐饮业 仍 保持 着 增长 势头 。 
摄被迫停工的密松水电站工地。,14,摄 被 迫 停工 的 密松 水电站 工地 。 ,摄 被迫 停工 的 密松 水电站 工地 。 
这一切，都只能从现实出发。,13,这 一切 ， 都 只 能 从 现实 出发 。 ,这 一切 ， 都 只能 从 现实 出发 。 
这种局面有望得到根本性扭转。,14,这 种 局面 有望 得到 根本性 扭转 。 ,这种 局面 有望 得到 根本性 扭转 。 
毕竟从小住在那里。,9,毕竟 从 小住 在 那里 。 ,毕竟 从小 住 在 那里 。 
签协议时，张雪盈还有担心。,13,签 协议 时 ， 张雪盈 还 有 担心 。 ,签 协议 时 ， 张雪盈 还有 担心 。 
有一个典型的例子。,9,有 一 个 典型 的 例子 。 ,有 一个 典型 的 例子 。 
霾来如山倒，霾去如抽丝。,12,霾来 如 山 倒 ， 霾 去 如 抽丝 。 ,霾 来 如 山 倒 ， 霾 去 如 抽丝 。 
有人问，多少年才能把霾赶走？,14,有 人 问 ， 多少 年 才 能 把 霾 赶走 ？ ,有人 问 ， 多少 年 才 能 把 霾 赶走 ？ 
内蒙古清理违规车辆2万多辆。,14,内蒙古 清理 违规 车辆 2万多 辆 。 ,内蒙古 清理 违规 车辆 2万 多 辆 。 
老掉牙的装备缘何长出利齿？,13,老掉牙 的 装备 缘何 长出 利齿 ？ ,老掉牙 的 装备 缘何 长 出 利齿 ？ 
放下似白菊，提起如灯笼。,12,放下 似白菊 ， 提起 如 灯笼 。 ,放下 似 白菊 ， 提起 如 灯笼 。 
看，麦苗一提拉就断了。,11,看 ， 麦苗一提拉 就 断 了 。 ,看 ， 麦苗 一 提拉 就 断 了 。 
农场负责人冯树强亮出了家底。,14,农场 负责人 冯 树 强亮 出 了 家底 。 ,农场 负责人 冯树强 亮 出 了 家底 。 
这里容易赚钱。,7,这里 容易 赚 钱 。 ,这里 容易 赚钱 。 
相对于隔离，他们更需要帮助。,14,相对于 隔离 ， 他们 更 需要 帮助 。 ,相对 于 隔离 ， 他们 更 需要 帮助 。 
公共精神对危机治理至关重要。,14,公共 精神 对 危机 治理 至关 重要 。 ,公共 精神 对 危机 治理 至关重要 。 
仓廪实而知礼节。,8,仓廪 实 而 知礼节 。 ,仓廪 实 而 知 礼节 。 
激励青年锐意进取、争创一流。,14,激励 青年 锐意 进取 、 争创 一流 。 ,激励 青年 锐意进取 、 争创 一流 。 
该书主要有三个特点。,10,该 书 主要 有 三 个 特点 。 ,该书 主要 有 三 个 特点 。 
这擦鞋多少钱一次呢？,10,这 擦鞋 多少 钱 一 次 呢 ？ ,这 擦 鞋 多少 钱 一 次 呢 ？ 
徐莉佳反问。,6,徐莉 佳 反问 。 ,徐莉佳 反问 。 
说着徐莉佳指了指耳朵。,11,说 着 徐莉 佳 指 了 指 耳朵 。 ,说 着 徐莉佳 指 了 指 耳朵 。 
在此之下多看少动为妙。,11,在 此 之下 多 看 少动 为 妙 。 ,在 此 之下 多 看 少 动 为 妙 。 
所以古人称为真宰。,9,所以 古人 称 为 真 宰 。 ,所以 古人 称为 真 宰 。 
手中有粮，心中不慌。,10,手 中 有 粮 ， 心中不慌 。 ,手中 有 粮 ， 心中 不 慌 。 
我国为何销毁象牙？,9,我 国 为何 销毁 象牙 ？ ,我国 为何 销毁 象牙 ？ 
两个因素至关重要。,9,两 个 因素 至关 重要 。 ,两 个 因素 至关重要 。 
目前，这批员工已经被送回乡。,14,目前 ， 这 批 员工 已经 被 送回乡 。 ,目前 ， 这 批 员工 已经 被 送 回乡 。 
送回家之后怎样？,8,送回 家 之后 怎样 ？ ,送 回 家 之后 怎样 ？ 
群山环绕的小山村，炊烟袅袅。,14,群山 环绕 的 小 山村 ， 炊烟 袅袅 。 ,群山 环绕 的 小 山村 ， 炊烟袅袅 。 
多数消费者暂时还只能观望。,13,多数 消费者 暂时 还 只 能 观望 。 ,多数 消费者 暂时 还 只能 观望 。 
深成指报收于点，下跌。,11,深成指 报收于 点 ， 下跌 。 ,深成指 报收 于 点 ， 下跌 。 
演得非常好！,6,演得 非常 好 ！ ,演 得 非常 好 ！ 
首先便是场地问题。,9,首先 便 是 场地 问题 。 ,首先 便是 场地 问题 。 
另一个问题是资金缺口。,11,另 一 个 问题 是 资金 缺口 。 ,另 一个 问题 是 资金 缺口 。 
这个经验很好！,7,这 个 经验 很 好 ！ ,这个 经验 很 好 ！ 
索萨赛后表示。,7,索萨赛 后 表示 。 ,索萨 赛后 表示 。 
改进和完善党内生活制度。,12,改进 和 完善 党 内 生活 制度 。 ,改进 和 完善 党内 生活 制度 。 
省委常委率先垂范。,9,省委 常委 率先 垂范 。 ,省委 常委 率先垂范 。 
他就是亮亮。,6,他 就 是 亮亮 。 ,他 就是 亮亮 。 
孩子似有所悟！,7,孩子 似有所悟 ！ ,孩子 似 有所 悟 ！ 
奋斗的日子总有感人的故事。,13,奋斗 的 日子 总有 感人 的 故事 。 ,奋斗 的 日子 总 有 感人 的 故事 。 
哪有安置，都是到处打游击。,13,哪 有 安置 ， 都 是 到处 打 游击 。 ,哪 有 安置 ， 都 是 到处 打游击 。 
其中，尤以两点最为突出。,12,其中 ， 尤以 两 点 最为 突出 。 ,其中 ， 尤 以 两 点 最为 突出 。 
她还提醒人们注意一个事实。,13,她 还 提醒 人们 注意 一 个 事实 。 ,她 还 提醒 人们 注意 一个 事实 。 
这可谓深谙官场中的玄妙。,12,这 可 谓 深谙 官场 中 的 玄妙 。 ,这 可谓 深谙 官场 中 的 玄妙 。 
来一次就办好了。,8,来 一 次 就 办好 了 。 ,来 一 次 就 办 好 了 。 
这种说法合理吗？,8,这 种 说法 合理 吗 ？ ,这种 说法 合理 吗 ？ 
心若有民，自会有口皆碑。,12,心若 有 民 ， 自会 有口皆碑 。 ,心 若 有 民 ， 自 会 有口皆碑 。 
潮平两岸阔，风正一帆悬。,12,潮平 两 岸 阔 ， 风 正 一 帆 悬 。 ,潮平两岸阔 ， 风正一帆悬 。 
但是，星星之火，可以燎原。,13,但是 ， 星星 之 火 ， 可以 燎原 。 ,但是 ， 星星之火 ， 可以 燎原 。 
海钢的转型之旅，仍在路上。,13,海钢 的 转型 之 旅 ， 仍 在 路 上 。 ,海钢 的 转型 之 旅 ， 仍 在 路上 。 
这种活动被媒体称为孤儿旅游。,14,这 种 活动 被 媒体 称为 孤儿 旅游 。 ,这种 活动 被 媒体 称为 孤儿 旅游 。 
将对外传播这一讯息。,10,将 对 外 传播 这 一 讯息 。 ,将 对外 传播 这 一 讯息 。 
这个活动组织得太好了！,11,这 个 活动 组织 得 太 好 了 ！ ,这个 活动 组织 得 太 好 了 ！ 
这种想法实在是过于天真。,12,这 种 想法 实在 是 过于 天真 。 ,这种 想法 实在 是 过于 天真 。 
其次要重视中药材供应的问题。,14,其次 要 重视 中 药材 供应 的 问题 。 ,其次 要 重视 中药材 供应 的 问题 。 
